Model,Date,Forecast_CY,Forecast_NCY,State,Country,Forecast,cumForecast
OUTLANDER 450,2019-03-25,14,11,AL,US,25,214
OUTLANDER 1000,2019-04-01,13,6,AL,US,19,192
OUTLANDER 850,2019-04-01,14,12,AL,US,26,192
OUTLANDER 450,2019-04-01,10,1,AL,US,11,225
OUTLANDER 1000,2019-04-08,0,14,AL,US,14,206
OUTLANDER 850,2019-04-08,13,1,AL,US,14,206
OUTLANDER 450,2019-04-08,5,5,AL,US,10,235
OUTLANDER 1000,2019-04-15,9,3,AL,US,12,218
OUTLANDER 850,2019-04-15,6,11,AL,US,17,223
OUTLANDER 450,2019-04-15,10,12,AL,US,22,257
OUTLANDER 1000,2019-04-22,12,4,AL,US,16,234
OUTLANDER 850,2019-04-22,3,9,AL,US,12,235
OUTLANDER 450,2019-04-22,10,5,AL,US,15,272
OUTLANDER 1000,2019-04-29,15,3,AL,US,18,252
OUTLANDER 850,2019-04-29,0,10,AL,US,10,245
OUTLANDER 450,2019-04-29,0,6,AL,US,6,278
OUTLANDER 1000,2019-05-06,1,0,AL,US,1,253
OUTLANDER 850,2019-05-06,11,8,AL,US,19,264
OUTLANDER 450,2019-05-06,2,15,AL,US,17,295
OUTLANDER 1000,2019-05-13,7,13,AL,US,20,273
OUTLANDER 850,2019-05-13,0,1,AL,US,1,265
OUTLANDER 450,2019-05-13,4,7,AL,US,11,306
OUTLANDER 1000,2019-05-20,4,14,AL,US,18,291
OUTLANDER 850,2019-05-20,7,6,AL,US,13,278
OUTLANDER 450,2019-05-20,14,13,AL,US,27,333
OUTLANDER 1000,2019-05-27,6,1,AL,US,7,298
OUTLANDER 850,2019-05-27,12,10,AL,US,22,300
OUTLANDER 450,2019-05-27,9,11,AL,US,20,353
OUTLANDER 1000,2019-06-03,9,13,AL,US,22,320
OUTLANDER 850,2019-06-03,4,8,AL,US,12,312
OUTLANDER 450,2019-06-03,6,3,AL,US,9,362
OUTLANDER 1000,2019-06-10,7,1,AL,US,8,328
OUTLANDER 850,2019-06-10,15,7,AL,US,22,334
OUTLANDER 450,2019-06-10,13,2,AL,US,15,377
OUTLANDER 1000,2019-06-17,10,9,AL,US,19,347
OUTLANDER 850,2019-06-17,9,5,AL,US,14,348
OUTLANDER 450,2019-06-17,6,5,AL,US,11,388
OUTLANDER 1000,2019-06-24,12,2,AL,US,14,361
OUTLANDER 850,2019-06-24,13,7,AL,US,20,368
OUTLANDER 450,2019-06-24,7,12,AL,US,19,407
OUTLANDER 1000,2019-07-01,13,4,AL,US,17,378
OUTLANDER 850,2019-07-01,11,1,AL,US,12,380
OUTLANDER 450,2019-07-01,14,13,AL,US,27,434
OUTLANDER 1000,2019-07-08,5,11,AL,US,16,394
OUTLANDER 850,2019-07-08,7,10,AL,US,17,397
OUTLANDER 450,2019-07-08,6,8,AL,US,14,448
OUTLANDER 1000,2019-07-15,10,12,AL,US,22,416
OUTLANDER 850,2019-07-15,7,11,AL,US,18,415
OUTLANDER 450,2019-07-15,14,12,AL,US,26,474
OUTLANDER 1000,2019-07-22,13,6,AL,US,19,435
OUTLANDER 850,2019-07-22,10,2,AL,US,12,427
OUTLANDER 450,2019-07-22,2,5,AL,US,7,481
OUTLANDER 1000,2019-07-29,13,2,AL,US,15,450
OUTLANDER 850,2019-07-29,5,13,AL,US,18,445
OUTLANDER 450,2019-07-29,11,14,AL,US,25,506
OUTLANDER 1000,2019-08-05,4,0,AL,US,4,454
OUTLANDER 850,2019-08-05,12,8,AL,US,20,465
OUTLANDER 450,2019-08-05,1,0,AL,US,1,507
OUTLANDER 1000,2019-08-12,14,8,AL,US,22,476
OUTLANDER 850,2019-08-12,10,14,AL,US,24,489
OUTLANDER 450,2019-08-12,3,9,AL,US,12,519
OUTLANDER 1000,2019-08-19,15,7,AL,US,22,498
OUTLANDER 850,2019-08-19,5,14,AL,US,19,508
OUTLANDER 450,2019-08-19,3,4,AL,US,7,526
OUTLANDER 1000,2019-08-26,8,2,AL,US,10,508
OUTLANDER 850,2019-08-26,3,9,AL,US,12,520
OUTLANDER 450,2019-08-26,6,10,AL,US,16,542
OUTLANDER 1000,2019-09-02,3,12,AL,US,15,523
OUTLANDER 850,2019-09-02,12,9,AL,US,21,541
OUTLANDER 450,2019-09-02,1,10,AL,US,11,553
OUTLANDER 1000,2019-09-09,3,1,AL,US,4,527
OUTLANDER 850,2019-09-09,1,4,AL,US,5,546
OUTLANDER 450,2019-09-09,12,8,AL,US,20,573
OUTLANDER 1000,2019-09-16,10,5,AL,US,15,542
OUTLANDER 850,2019-09-16,9,13,AL,US,22,568
OUTLANDER 450,2019-09-16,13,11,AL,US,24,597
OUTLANDER 1000,2019-09-23,12,0,AL,US,12,554
OUTLANDER 850,2019-09-23,6,0,AL,US,6,574
OUTLANDER 450,2019-09-23,7,12,AL,US,19,616
OUTLANDER 1000,2019-09-30,2,12,AL,US,14,568
OUTLANDER 850,2019-09-30,14,9,AL,US,23,597
OUTLANDER 450,2019-09-30,12,4,AL,US,16,632
OUTLANDER 1000,2019-10-07,8,2,AL,US,10,578
OUTLANDER 850,2019-10-07,15,6,AL,US,21,618
OUTLANDER 450,2019-10-07,12,3,AL,US,15,647
OUTLANDER 1000,2019-10-14,11,5,AL,US,16,594
OUTLANDER 850,2019-10-14,4,1,AL,US,5,623
OUTLANDER 450,2019-10-14,8,7,AL,US,15,662
OUTLANDER 1000,2019-10-21,13,13,AL,US,26,620
OUTLANDER 850,2019-10-21,8,10,AL,US,18,641
OUTLANDER 450,2019-10-21,11,0,AL,US,11,673
OUTLANDER 1000,2019-10-28,13,9,AL,US,22,642
OUTLANDER 850,2019-10-28,7,2,AL,US,9,650
OUTLANDER 450,2019-10-28,2,10,AL,US,12,685
OUTLANDER 1000,2019-11-04,10,2,AL,US,12,654
OUTLANDER 850,2019-11-04,3,1,AL,US,4,654
OUTLANDER 450,2019-11-04,2,7,AL,US,9,694
OUTLANDER 1000,2019-11-11,10,12,AL,US,22,676
OUTLANDER 850,2019-11-11,7,8,AL,US,15,669
OUTLANDER 450,2019-11-11,1,0,AL,US,1,695
OUTLANDER 1000,2019-11-18,12,12,AL,US,24,700
OUTLANDER 850,2019-11-18,2,12,AL,US,14,683
OUTLANDER 450,2019-11-18,1,12,AL,US,13,708
OUTLANDER 1000,2019-11-25,2,4,AL,US,6,706
OUTLANDER 850,2019-11-25,12,10,AL,US,22,705
OUTLANDER 450,2019-11-25,6,15,AL,US,21,729
OUTLANDER 1000,2019-12-02,6,5,AL,US,11,717
OUTLANDER 850,2019-12-02,4,10,AL,US,14,719
OUTLANDER 450,2019-12-02,13,3,AL,US,16,745
OUTLANDER 1000,2019-12-09,11,4,AL,US,15,732
OUTLANDER 850,2019-12-09,2,1,AL,US,3,722
OUTLANDER 450,2019-12-09,12,3,AL,US,15,760
OUTLANDER 1000,2019-12-16,10,9,AL,US,19,751
OUTLANDER 850,2019-12-16,1,8,AL,US,9,731
OUTLANDER 450,2019-12-16,8,10,AL,US,18,778
OUTLANDER 1000,2019-12-23,4,12,AL,US,16,767
OUTLANDER 850,2019-12-23,8,6,AL,US,14,745
OUTLANDER 450,2019-12-23,12,0,AL,US,12,790
OUTLANDER 1000,2019-12-30,9,6,AL,US,15,782
OUTLANDER 850,2019-12-30,10,12,AL,US,22,767
OUTLANDER 450,2019-12-30,11,8,AL,US,19,809
OUTLANDER 1000,2020-01-06,1,10,AL,US,11,793
OUTLANDER 850,2020-01-06,3,3,AL,US,6,773
OUTLANDER 450,2020-01-06,0,7,AL,US,7,816
OUTLANDER 1000,2020-01-13,9,2,AL,US,11,804
OUTLANDER 850,2020-01-13,3,10,AL,US,13,786
OUTLANDER 450,2020-01-13,0,6,AL,US,6,822
OUTLANDER 1000,2020-01-20,4,14,AL,US,18,822
OUTLANDER 850,2020-01-20,8,10,AL,US,18,804
OUTLANDER 450,2020-01-20,14,8,AL,US,22,844
OUTLANDER 1000,2020-01-27,5,7,AL,US,12,834
OUTLANDER 850,2020-01-27,10,6,AL,US,16,820
OUTLANDER 450,2020-01-27,6,15,AL,US,21,865
OUTLANDER 1000,2020-02-03,1,7,AL,US,8,842
OUTLANDER 850,2020-02-03,11,14,AL,US,25,845
OUTLANDER 450,2020-02-03,13,13,AL,US,26,891
OUTLANDER 1000,2020-02-10,13,10,AL,US,23,865
OUTLANDER 850,2020-02-10,10,11,AL,US,21,866
OUTLANDER 450,2020-02-10,7,9,AL,US,16,907
OUTLANDER 1000,2020-02-17,14,1,AL,US,15,880
OUTLANDER 850,2020-02-17,8,6,AL,US,14,880
OUTLANDER 450,2020-02-17,4,8,AL,US,12,919
OUTLANDER 1000,2020-02-24,9,12,AL,US,21,901
OUTLANDER 850,2020-02-24,12,6,AL,US,18,898
OUTLANDER 450,2020-02-24,14,8,AL,US,22,941
OUTLANDER 1000,2020-03-02,7,9,AL,US,16,917
OUTLANDER 850,2020-03-02,12,11,AL,US,23,921
OUTLANDER 450,2020-03-02,11,9,AL,US,20,961
OUTLANDER 1000,2020-03-09,9,3,AL,US,12,929
OUTLANDER 850,2020-03-09,7,1,AL,US,8,929
OUTLANDER 450,2020-03-09,3,3,AL,US,6,967
OUTLANDER 1000,2020-03-16,7,8,AL,US,15,944
OUTLANDER 850,2020-03-16,9,14,AL,US,23,952
OUTLANDER 450,2020-03-16,12,8,AL,US,20,987
OUTLANDER 1000,2020-03-23,11,12,AL,US,23,967
OUTLANDER 850,2020-03-23,14,2,AL,US,16,968
OUTLANDER 450,2020-03-23,3,13,AL,US,16,1003
OUTLANDER 1000,2020-03-30,7,6,AL,US,13,980
OUTLANDER 850,2020-03-30,6,3,AL,US,9,977
OUTLANDER 450,2020-03-30,6,7,AL,US,13,1016
OUTLANDER 1000,2020-04-06,8,4,AL,US,12,992
OUTLANDER 850,2020-04-06,8,10,AL,US,18,995
OUTLANDER 450,2020-04-06,12,12,AL,US,24,1040
OUTLANDER 1000,2020-04-13,13,6,AL,US,19,1011
OUTLANDER 850,2020-04-13,15,5,AL,US,20,1015
OUTLANDER 450,2020-04-13,2,9,AL,US,11,1051
OUTLANDER 1000,2020-04-20,7,0,AL,US,7,1018
OUTLANDER 850,2020-04-20,4,0,AL,US,4,1019
OUTLANDER 450,2020-04-20,5,14,AL,US,19,1070
OUTLANDER 1000,2020-04-27,12,2,AL,US,14,1032
OUTLANDER 850,2020-04-27,5,14,AL,US,19,1038
OUTLANDER 450,2020-04-27,2,2,AL,US,4,1074
OUTLANDER 1000,2020-05-04,10,3,AL,US,13,1045
OUTLANDER 850,2020-05-04,14,8,AL,US,22,1060
OUTLANDER 450,2020-05-04,0,2,AL,US,2,1076
OUTLANDER 1000,2020-05-11,1,12,AL,US,13,1058
OUTLANDER 850,2020-05-11,14,2,AL,US,16,1076
OUTLANDER 450,2020-05-11,4,8,AL,US,12,1088
OUTLANDER 1000,2020-05-18,7,4,AL,US,11,1069
OUTLANDER 850,2020-05-18,3,1,AL,US,4,1080
OUTLANDER 450,2020-05-18,11,13,AL,US,24,1112
OUTLANDER 1000,2020-05-25,13,0,AL,US,13,1082
OUTLANDER 850,2020-05-25,14,7,AL,US,21,1101
OUTLANDER 450,2020-05-25,8,2,AL,US,10,1122
OUTLANDER 1000,2020-06-01,10,9,AL,US,19,1101
OUTLANDER 850,2020-06-01,0,0,AL,US,0,1101
OUTLANDER 450,2020-06-01,2,4,AL,US,6,1128
OUTLANDER 1000,2020-06-08,5,11,AL,US,16,1117
OUTLANDER 850,2020-06-08,3,13,AL,US,16,1117
OUTLANDER 450,2020-06-08,13,9,AL,US,22,1150
OUTLANDER 1000,2020-06-15,8,15,AL,US,23,1140
OUTLANDER 850,2020-06-15,7,7,AL,US,14,1131
OUTLANDER 450,2020-06-15,15,8,AL,US,23,1173
OUTLANDER 1000,2020-06-22,15,14,AL,US,29,1169
OUTLANDER 850,2020-06-22,1,0,AL,US,1,1132
OUTLANDER 450,2020-06-22,5,6,AL,US,11,1184
OUTLANDER 1000,2020-06-29,12,14,AL,US,26,1195
OUTLANDER 850,2020-06-29,5,9,AL,US,14,1146
OUTLANDER 450,2020-06-29,9,8,AL,US,17,1201
OUTLANDER 1000,2020-07-06,14,3,AL,US,17,1212
OUTLANDER 850,2020-07-06,9,10,AL,US,19,1165
OUTLANDER 450,2020-07-06,12,3,AL,US,15,1216
OUTLANDER 1000,2020-07-13,14,5,AL,US,19,1231
OUTLANDER 850,2020-07-13,10,6,AL,US,16,1181
OUTLANDER 450,2020-07-13,14,2,AL,US,16,1232
OUTLANDER 1000,2020-07-20,12,3,AL,US,15,1246
OUTLANDER 850,2020-07-20,5,8,AL,US,13,1194
OUTLANDER 450,2020-07-20,6,11,AL,US,17,1249
OUTLANDER 1000,2020-07-27,7,7,AL,US,14,1260
OUTLANDER 850,2020-07-27,1,13,AL,US,14,1208
OUTLANDER 450,2020-07-27,13,9,AL,US,22,1271
OUTLANDER 1000,2020-08-03,10,7,AL,US,17,1277
OUTLANDER 850,2020-08-03,1,1,AL,US,2,1210
OUTLANDER 450,2020-08-03,4,4,AL,US,8,1279
OUTLANDER 1000,2020-08-10,1,13,AL,US,14,1291
OUTLANDER 850,2020-08-10,2,0,AL,US,2,1212
OUTLANDER 450,2020-08-10,9,15,AL,US,24,1303
OUTLANDER 1000,2020-08-17,15,1,AL,US,16,1307
OUTLANDER 850,2020-08-17,11,3,AL,US,14,1226
OUTLANDER 450,2020-08-17,9,7,AL,US,16,1319
OUTLANDER 1000,2020-08-24,13,6,AL,US,19,1326
OUTLANDER 850,2020-08-24,3,3,AL,US,6,1232
OUTLANDER 450,2020-08-24,1,8,AL,US,9,1328
OUTLANDER 1000,2020-08-31,7,4,AL,US,11,1337
OUTLANDER 850,2020-08-31,4,7,AL,US,11,1243
OUTLANDER 450,2020-08-31,2,10,AL,US,12,1340
OUTLANDER 1000,2020-09-07,2,11,AL,US,13,1350
OUTLANDER 850,2020-09-07,2,10,AL,US,12,1255
OUTLANDER 450,2020-09-07,6,12,AL,US,18,1358
OUTLANDER 1000,2020-09-14,7,2,AL,US,9,1359
OUTLANDER 850,2020-09-14,12,1,AL,US,13,1268
OUTLANDER 450,2020-09-14,7,12,AL,US,19,1377
OUTLANDER 1000,2020-09-21,11,3,AL,US,14,1373
OUTLANDER 850,2020-09-21,1,3,AL,US,4,1272
OUTLANDER 450,2020-09-21,15,5,AL,US,20,1397
OUTLANDER 1000,2020-09-28,9,13,AL,US,22,1395
OUTLANDER 850,2020-09-28,6,0,AL,US,6,1278
OUTLANDER 450,2020-09-28,8,2,AL,US,10,1407
OUTLANDER 1000,2020-10-05,8,15,AL,US,23,1418
OUTLANDER 850,2020-10-05,12,12,AL,US,24,1302
OUTLANDER 450,2020-10-05,6,9,AL,US,15,1422
OUTLANDER 1000,2020-10-12,3,3,AL,US,6,1424
OUTLANDER 850,2020-10-12,12,13,AL,US,25,1327
OUTLANDER 450,2020-10-12,9,4,AL,US,13,1435
OUTLANDER 1000,2020-10-19,14,5,AL,US,19,1443
OUTLANDER 850,2020-10-19,4,11,AL,US,15,1342
OUTLANDER 450,2020-10-19,4,14,AL,US,18,1453
OUTLANDER 1000,2020-10-26,15,10,AL,US,25,1468
OUTLANDER 850,2020-10-26,3,14,AL,US,17,1359
OUTLANDER 450,2020-10-26,7,5,AL,US,12,1465
OUTLANDER 1000,2020-11-02,9,8,AL,US,17,1485
OUTLANDER 850,2020-11-02,10,10,AL,US,20,1379
OUTLANDER 450,2020-11-02,6,8,AL,US,14,1479
OUTLANDER 1000,2020-11-09,14,15,AL,US,29,1514
OUTLANDER 850,2020-11-09,1,12,AL,US,13,1392
OUTLANDER 450,2020-11-09,7,11,AL,US,18,1497
OUTLANDER 1000,2020-11-16,3,15,AL,US,18,1532
OUTLANDER 850,2020-11-16,8,5,AL,US,13,1405
OUTLANDER 450,2020-11-16,10,1,AL,US,11,1508
OUTLANDER 1000,2020-11-23,11,3,AL,US,14,1546
OUTLANDER 850,2020-11-23,13,10,AL,US,23,1428
OUTLANDER 450,2020-11-23,2,14,AL,US,16,1524
OUTLANDER 1000,2020-11-30,0,4,AL,US,4,1550
OUTLANDER 850,2020-11-30,6,5,AL,US,11,1439
OUTLANDER 450,2020-11-30,6,7,AL,US,13,1537
OUTLANDER 1000,2020-12-07,14,0,AL,US,14,1564
OUTLANDER 850,2020-12-07,12,14,AL,US,26,1465
OUTLANDER 450,2020-12-07,6,10,AL,US,16,1553
OUTLANDER 1000,2020-12-14,0,3,AL,US,3,1567
OUTLANDER 850,2020-12-14,13,7,AL,US,20,1485
OUTLANDER 450,2020-12-14,14,15,AL,US,29,1582
OUTLANDER 1000,2020-12-21,10,5,AL,US,15,1582
OUTLANDER 850,2020-12-21,9,10,AL,US,19,1504
OUTLANDER 450,2020-12-21,3,9,AL,US,12,1594
OUTLANDER 1000,2020-12-28,5,13,AL,US,18,1600
OUTLANDER 850,2020-12-28,8,7,AL,US,15,1519
OUTLANDER 450,2020-12-28,1,5,AL,US,6,1600
OUTLANDER 1000,2021-01-04,5,9,AL,US,14,1614
OUTLANDER 850,2021-01-04,5,3,AL,US,8,1527
OUTLANDER 450,2021-01-04,4,10,AL,US,14,1614
OUTLANDER 1000,2021-01-11,2,14,AL,US,16,1630
OUTLANDER 850,2021-01-11,7,5,AL,US,12,1539
OUTLANDER 450,2021-01-11,5,9,AL,US,14,1628
OUTLANDER 1000,2021-01-18,2,5,AL,US,7,1637
OUTLANDER 850,2021-01-18,9,15,AL,US,24,1563
OUTLANDER 450,2021-01-18,5,12,AL,US,17,1645
OUTLANDER 1000,2021-01-25,3,0,AL,US,3,1640
OUTLANDER 850,2021-01-25,7,5,AL,US,12,1575
OUTLANDER 450,2021-01-25,3,9,AL,US,12,1657
OUTLANDER 1000,2021-02-01,14,10,AL,US,24,1664
OUTLANDER 850,2021-02-01,13,11,AL,US,24,1599
OUTLANDER 450,2021-02-01,6,4,AL,US,10,1667
OUTLANDER 1000,2021-02-08,4,5,AL,US,9,1673
OUTLANDER 850,2021-02-08,3,9,AL,US,12,1611
OUTLANDER 450,2021-02-08,7,2,AL,US,9,1676
OUTLANDER 1000,2021-02-15,7,5,AL,US,12,1685
OUTLANDER 850,2021-02-15,4,1,AL,US,5,1616
OUTLANDER 450,2021-02-15,4,13,AL,US,17,1693
OUTLANDER 1000,2021-02-22,14,2,AL,US,16,1701
OUTLANDER 850,2021-02-22,13,8,AL,US,21,1637
OUTLANDER 450,2021-02-22,1,10,AL,US,11,1704
OUTLANDER 1000,2021-03-01,9,3,AL,US,12,1713
OUTLANDER 850,2021-03-01,5,11,AL,US,16,1653
OUTLANDER 450,2021-03-01,5,12,AL,US,17,1721
OUTLANDER 1000,2021-03-08,1,1,AL,US,2,1715
OUTLANDER 850,2021-03-08,6,1,AL,US,7,1660
OUTLANDER 450,2021-03-08,5,5,AL,US,10,1731
OUTLANDER 1000,2021-03-15,15,6,AL,US,21,1736
OUTLANDER 850,2021-03-15,6,13,AL,US,19,1679
OUTLANDER 450,2021-03-15,8,12,AL,US,20,1751
OUTLANDER 1000,2021-03-22,8,14,AL,US,22,1758
OUTLANDER 850,2021-03-22,2,0,AL,US,2,1681
OUTLANDER 450,2021-03-22,9,6,AL,US,15,1766
OUTLANDER 1000,2021-03-29,13,1,AL,US,14,1772
OUTLANDER 850,2021-03-29,14,14,AL,US,28,1709
OUTLANDER 450,2021-03-29,14,6,AL,US,20,1786
OUTLANDER 1000,2021-04-05,0,14,AL,US,14,1786
OUTLANDER 850,2021-04-05,2,6,AL,US,8,1717
OUTLANDER 450,2021-04-05,2,3,AL,US,5,1791
OUTLANDER 1000,2021-04-12,3,2,AL,US,5,1791
OUTLANDER 850,2021-04-12,8,4,AL,US,12,1729
OUTLANDER 450,2021-04-12,6,2,AL,US,8,1799
OUTLANDER 1000,2021-04-19,14,14,AL,US,28,1819
OUTLANDER 850,2021-04-19,10,13,AL,US,23,1752
OUTLANDER 450,2021-04-19,11,12,AL,US,23,1822
OUTLANDER 1000,2021-04-26,11,5,AL,US,16,1835
OUTLANDER 850,2021-04-26,2,13,AL,US,15,1767
OUTLANDER 450,2021-04-26,15,12,AL,US,27,1849
OUTLANDER 1000,2021-05-03,15,14,AL,US,29,1864
OUTLANDER 850,2021-05-03,0,0,AL,US,0,1767
OUTLANDER 450,2021-05-03,3,12,AL,US,15,1864
OUTLANDER 1000,2021-05-10,14,2,AL,US,16,1880
OUTLANDER 850,2021-05-10,11,15,AL,US,26,1793
OUTLANDER 450,2021-05-10,1,8,AL,US,9,1873
OUTLANDER 1000,2021-05-17,1,12,AL,US,13,1893
OUTLANDER 850,2021-05-17,3,1,AL,US,4,1797
OUTLANDER 450,2021-05-17,12,4,AL,US,16,1889
OUTLANDER 1000,2021-05-24,9,10,AL,US,19,1912
OUTLANDER 850,2021-05-24,9,5,AL,US,14,1811
OUTLANDER 450,2021-05-24,13,7,AL,US,20,1909
OUTLANDER 1000,2021-05-31,4,1,AL,US,5,1917
OUTLANDER 850,2021-05-31,1,15,AL,US,16,1827
OUTLANDER 450,2021-05-31,5,4,AL,US,9,1918
OUTLANDER 1000,2021-06-07,4,12,AL,US,16,1933
OUTLANDER 850,2021-06-07,10,4,AL,US,14,1841
OUTLANDER 450,2021-06-07,13,1,AL,US,14,1932
OUTLANDER 1000,2021-06-14,11,1,AL,US,12,1945
OUTLANDER 850,2021-06-14,6,4,AL,US,10,1851
OUTLANDER 450,2021-06-14,11,4,AL,US,15,1947
OUTLANDER 1000,2021-06-21,15,9,AL,US,24,1969
OUTLANDER 850,2021-06-21,5,0,AL,US,5,1856
OUTLANDER 450,2021-06-21,2,12,AL,US,14,1961
OUTLANDER 1000,2021-06-28,8,15,AL,US,23,1992
OUTLANDER 850,2021-06-28,1,9,AL,US,10,1866
OUTLANDER 450,2021-06-28,2,12,AL,US,14,1975
OUTLANDER 1000,2021-07-05,13,11,AL,US,24,2016
OUTLANDER 850,2021-07-05,2,8,AL,US,10,1876
OUTLANDER 450,2021-07-05,4,1,AL,US,5,1980
OUTLANDER 1000,2021-07-12,10,14,AL,US,24,2040
OUTLANDER 850,2021-07-12,7,8,AL,US,15,1891
OUTLANDER 450,2021-07-12,5,3,AL,US,8,1988
OUTLANDER 1000,2021-07-19,7,1,AL,US,8,2048
OUTLANDER 850,2021-07-19,2,12,AL,US,14,1905
OUTLANDER 450,2021-07-19,4,12,AL,US,16,2004
OUTLANDER 1000,2021-07-26,7,0,AL,US,7,2055
OUTLANDER 850,2021-07-26,4,9,AL,US,13,1918
OUTLANDER 450,2021-07-26,4,13,AL,US,17,2021
OUTLANDER 1000,2021-08-02,1,15,AL,US,16,2071
OUTLANDER 850,2021-08-02,11,8,AL,US,19,1937
OUTLANDER 450,2021-08-02,9,7,AL,US,16,2037
OUTLANDER 1000,2021-08-09,12,6,AL,US,18,2089
OUTLANDER 850,2021-08-09,11,13,AL,US,24,1961
OUTLANDER 450,2021-08-09,14,8,AL,US,22,2059
OUTLANDER 1000,2021-08-16,13,3,AL,US,16,2105
OUTLANDER 850,2021-08-16,8,9,AL,US,17,1978
OUTLANDER 450,2021-08-16,10,14,AL,US,24,2083
OUTLANDER 1000,2021-08-23,10,9,AL,US,19,2124
OUTLANDER 850,2021-08-23,6,0,AL,US,6,1984
OUTLANDER 450,2021-08-23,12,6,AL,US,18,2101
OUTLANDER 1000,2021-08-30,9,5,AL,US,14,2138
OUTLANDER 850,2021-08-30,2,2,AL,US,4,1988
OUTLANDER 450,2021-08-30,10,7,AL,US,17,2118
OUTLANDER 1000,2021-09-06,2,6,AL,US,8,2146
OUTLANDER 850,2021-09-06,1,3,AL,US,4,1992
OUTLANDER 450,2021-09-06,6,9,AL,US,15,2133
OUTLANDER 1000,2021-09-13,13,11,AL,US,24,2170
OUTLANDER 850,2021-09-13,10,10,AL,US,20,2012
OUTLANDER 450,2021-09-13,2,9,AL,US,11,2144
OUTLANDER 1000,2021-09-20,10,2,AL,US,12,2182
OUTLANDER 850,2021-09-20,5,12,AL,US,17,2029
OUTLANDER 450,2021-09-20,1,3,AL,US,4,2148
OUTLANDER 1000,2021-09-27,0,12,AL,US,12,2194
OUTLANDER 850,2021-09-27,0,14,AL,US,14,2043
OUTLANDER 450,2021-09-27,15,1,AL,US,16,2164
OUTLANDER 1000,2021-10-04,12,0,AL,US,12,2206
OUTLANDER 850,2021-10-04,1,5,AL,US,6,2049
OUTLANDER 450,2021-10-04,5,8,AL,US,13,2177
OUTLANDER 1000,2021-10-11,14,11,AL,US,25,2231
OUTLANDER 850,2021-10-11,11,13,AL,US,24,2073
OUTLANDER 450,2021-10-11,5,10,AL,US,15,2192
OUTLANDER 1000,2021-10-18,3,0,AL,US,3,2234
OUTLANDER 850,2021-10-18,10,2,AL,US,12,2085
OUTLANDER 450,2021-10-18,2,9,AL,US,11,2203
OUTLANDER 1000,2021-10-25,14,5,AL,US,19,2253
OUTLANDER 850,2021-10-25,9,5,AL,US,14,2099
OUTLANDER 450,2021-10-25,5,9,AL,US,14,2217
OUTLANDER 1000,2021-11-01,8,8,AL,US,16,2269
OUTLANDER 850,2021-11-01,4,13,AL,US,17,2116
OUTLANDER 450,2021-11-01,13,11,AL,US,24,2241
OUTLANDER 1000,2021-11-08,14,0,AL,US,14,2283
OUTLANDER 850,2021-11-08,10,4,AL,US,14,2130
OUTLANDER 450,2021-11-08,12,6,AL,US,18,2259
OUTLANDER 1000,2021-11-15,11,7,AL,US,18,2301
OUTLANDER 850,2021-11-15,0,9,AL,US,9,2139
OUTLANDER 450,2021-11-15,4,12,AL,US,16,2275
